Property Address,Property City,Property State,Property Type,Land Area AC,Land Area SF,Star Rating,Sale Price,Sale Date,Sale Status,Asking Price,Price Per AC Land,Price Per SF Land,Property Name,Buyer (True) Company,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Seller (True) Origin,Listing Broker Company,Secondary Type,Zoning,Submarket Name,Location Type,Property County,Property Zip Code,Corner,Map Code,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Longitude,Latitude
25 Crooked Rd,Annville,PA,Land,16.12,702187,,"$325,000 ",2/26/2021,Sold,,"20,161.30",0.46,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17003-1700,,,2/26/2021,3/12/2021,,,Public Record,-76.5856,40.3853
3768 Copenhaver Rd,Glenville,PA,Land,22.21,967646,,"$215,000 ",2/25/2021,Sold,,"9,678.54",0.22,,,,,,,,Agricultural,,York County,Suburban,York,17329-1732,,,3/1/2021,3/12/2021,,,Public Record,-76.87482,39.76171
6411 Golden Key Rd,Kempton,PA,Land,29.66,1292098,,"$2,816 ",2/25/2021,Sold,,94.94,0,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,19529-1952,,,2/26/2021,3/10/2021,,,Public Record,-75.80432,40.65834
50 Locker Rd,Eighty Four,PA,Land,5.2,226512,,"$235,000 ",2/22/2021,Sold,,"45,192.31",1.04,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/24/2021,3/11/2021,,,Public Record,-80.09003,40.25116
6777 Reynolds Dr,Preble,NY,Land,9.4,409464,,"$25,000 ",2/19/2021,Sold,,"2,659.57",0.06,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13141-1314,,,2/24/2021,3/10/2021,,,Public Record,-76.14515,42.73367
4044 Pine City Rd,Shippenville,PA,Land,60,2613600,,"$180,000 ",2/18/2021,Sold,,"3,000.00",0.07,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/18/2021,3/10/2021,,,Public Record,-79.49412,41.32051
1052 Lynn Portal Rd,Washington,PA,Land,3,130680,,"$46,000 ",2/17/2021,Sold,,"15,333.33",0.35,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/19/2021,3/8/2021,,,Public Record,-80.28995,40.21692
6230 Hickory Rd,Slatington,PA,Land,1.53,66777,,"$35,000 ",2/17/2021,Sold,,"22,831.21",0.52,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,18080-1808,,,2/18/2021,3/3/2021,,,Public Record,-75.61238,40.70987
257 Ridge Rd,Jonestown,PA,Land,0.99,43124,,,2/17/2021,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17038-1703,,,2/24/2021,3/9/2021,,,Public Record,-76.59177,40.46527
243 Arnold Lake Rd,Milford,NY,Land,96.64,4209638,,,2/17/2021,Sold,,,,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13807-1380,,,2/18/2021,3/5/2021,,,Public Record,-75.01344,42.61354
2779 Cedar Run Rd,Lebanon,PA,Land,49.17,2141845,,,2/17/2021,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17003-1704,,,2/19/2021,3/3/2021,,,Public Record,-76.51241,40.36417
695 Cly Rd,York Haven,PA,Land,33.02,1438394,,,2/16/2021,Sold,,,,,,,,,,,Agricultural,,York County,Suburban,York,17370-1737,,,2/17/2021,3/1/2021,,,Public Record,-76.7495,40.13455
60 Ridgewood Dr,McDonald,PA,Land,0.55,24093,,"$498,830 ",2/15/2021,Sold,,"901,881.66",20.7,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15057-1505,,,2/22/2021,3/11/2021,,,Public Record,-80.20637,40.31429
8630 Frenchtown Rd,Guys Mills,PA,Land,27.45,1195722,,"$600,000 ",2/12/2021,Sold,,"21,857.92",0.5,,,,,,,,Agricultural,,,Suburban,Crawford,16327-1632,,,2/12/2021,3/2/2021,,,Public Record,-80.01529,41.58675
980 S Mountain Rd,Dillsburg,PA,Land,28.41,1237517,,"$216,000 ",2/12/2021,Sold,,"7,603.10",0.18,,,,,,,,Agricultural,,York County,Suburban,York,17019-1701,,,2/19/2021,3/3/2021,,,Public Record,-77.07922,40.09489
2645 Eagle Ln,Hellertown,PA,Land,3.3,143748,,"$150,000 ",2/12/2021,Sold,,"45,454.55",1.04,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18055-1805,,,2/23/2021,3/11/2021,,,Public Record,-75.2769,40.6248
501 Lily Lake Rd,Wapwallopen,PA,Land,17,740520,,,2/12/2021,Sold,,,,,,,,,,,Agricultural,,I-81 Corridor,Suburban,Luzerne,18660-1866,,,2/17/2021,3/8/2021,,,Public Record,-76.05013,41.14071
104 Linden Rd,Canonsburg,PA,Land,0.17,7492,,"$328,370 ",2/11/2021,Sold,,"1,909,209.45",43.83,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15143-1531,,,2/12/2021,3/1/2021,,,Public Record,-80.16967,40.23978
314 Linda Ln,Houston,PA,Land,0.31,13638,,"$255,000 ",2/11/2021,Sold,,"814,474.26",18.7,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15342-1534,,,2/18/2021,3/10/2021,,,Public Record,-80.2273,40.23573
14 Mawhinney Rd,Cecil-Bishop,PA,Land,1.23,53761,,"$214,300 ",2/11/2021,Sold,,"173,637.17",3.99,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/17/2021,3/5/2021,,,Public Record,-80.18888,40.32696
681 Rail Rd St,Palmyra,PA,Land,19.3,840708,,"$200,000 ",2/11/2021,Sold,,"10,362.69",0.24,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17078-1707,,,2/17/2021,3/2/2021,,,Public Record,-76.54875,40.22692
289 Monson Rd,Edmeston,NY,Land,25.04,1090742,,"$69,000 ",2/11/2021,Sold,,"2,755.59",0.06,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13335-1333,,,2/17/2021,3/3/2021,,,Public Record,-75.22391,42.67565
370 Abi Ln,Bath,PA,Land,9,392040,,"$55,000 ",2/11/2021,Sold,,"6,111.11",0.14,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18014-1801,,,2/12/2021,2/26/2021,,,Public Record,-75.42607,40.75326
516 Highfield Ave,Canonsburg,PA,Land,0.22,9500,,,2/11/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/24/2021,3/12/2021,,,Public Record,-80.18962,40.2683
155 Woodland Rd,Hellertown,PA,Land,5.88,256132,,,2/11/2021,Sold,,,,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18055-1805,,,2/25/2021,3/10/2021,,,Public Record,-75.26681,40.60974
16969 Airport Rd,Linesville,PA,Land,54.4,2369664,,,2/11/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,16424-1642,,,2/11/2021,3/8/2021,,,Public Record,-80.42996,41.71988
5002 Kensington Dr,Canonsburg,PA,Land,0.24,10454,,"$682,310 ",2/10/2021,Sold,,"2,843,067.11",65.27,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15317-1531,,,2/16/2021,3/4/2021,,,Public Record,-80.19136,40.29631
4324 Sr3004,Atlantic,PA,Land,22,958320,,,2/10/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,,,,2/10/2021,3/8/2021,,,Public Record,-80.2255,41.52257
142 Water St,Coal Center,PA,Land,0.23,10018,,,2/10/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/16/2021,3/3/2021,,,Public Record,-79.90066,40.0714
13 Beallsville Rd,Marianna,PA,Land,0.08,3598,,"$3,500 ",2/9/2021,Sold,,"42,373.54",0.97,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15345-1534,,,2/17/2021,3/4/2021,,,Public Record,-80.08619,40.02491
1506 PA-980,Canonsburg,PA,Land,0.53,23043,,,2/9/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15317-1531,,,2/22/2021,3/11/2021,,,Public Record,-80.20708,40.28249
58 Emerald Dr,Washington,PA,Land,0.12,5196,,,2/9/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/18/2021,3/10/2021,,,Public Record,-80.19975,40.17794
Irish Hill Rd,Marathon,NY,Land,16.33,711334,,,2/9/2021,Sold,,,,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13803-1380,,,2/12/2021,2/25/2021,,,Public Record,-75.99408,42.48787
1051 Kutztown Rd,Myerstown,PA,Land,11.9,518364,,"$225,000 ",2/8/2021,Sold,,"18,907.56",0.43,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17067-1706,,,2/12/2021,3/2/2021,,,Public Record,-76.34003,40.4276
32094 PA-408,Cambridge Springs,PA,Land,40.84,1778990,,"$60,000 ",2/8/2021,Sold,,"1,469.15",0.03,,,,,,,,Agricultural,,,Suburban,Crawford,16403-1640,,,2/8/2021,2/24/2021,,,Public Record,-79.9598,41.76207
686 Fisher Rd,Strattanville,PA,Land,23.89,1040648,,"$55,000 ",2/8/2021,Sold,,"2,302.22",0.05,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/18/2021,3/10/2021,,,Public Record,-79.31538,41.20772
6371 T-840,Fairmount City,PA,Land,30.31,1320303,,,2/8/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/8/2021,2/26/2021,,,Public Record,-79.28435,41.09452
5821 Crone Rd,Dover,PA,Land,17.39,757395,,"$165,000 ",2/7/2021,Sold,,"9,489.63",0.22,,,,,,,,Agricultural,,York County,Suburban,York,91022-1731,,,2/19/2021,3/4/2021,,,Public Record,-76.85126,40.04451
247 E Shore Dr,Bangor,PA,Land,0.48,20908,,"$340,000 ",2/5/2021,Sold,,"708,360.44",16.26,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18013-1801,,,2/22/2021,3/11/2021,,,Public Record,-75.1644,40.91036
340-112 Whitmarsh Hollow Rd,Candor,NY,Land,21.11,919551,,"$74,500 ",2/5/2021,Sold,,"3,529.14",0.08,,,,,,,,Agricultural,,,Suburban,Tioga,13743-1374,,,2/18/2021,3/11/2021,,,Public Record,-76.3412,42.17034
28 Spring Rd,Summerville,PA,Land,37.9,1650836,,"$48,000 ",2/5/2021,Sold,,"1,266.56",0.03,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/12/2021,3/2/2021,,,Public Record,-79.30675,41.14673
T-950,Sligo,PA,Land,33,1437480,,"$75,000 ",2/4/2021,Sold,,"2,272.73",0.05,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/22/2021,3/12/2021,,,Public Record,-79.44948,41.17165
318 Center Church Rd,McMurray,PA,Land,0.5,21793,,"$205,000 ",2/3/2021,Sold,,"409,755.43",9.41,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15317-1531,,,2/4/2021,2/24/2021,,,Public Record,-80.10803,40.27389
4011 Overview Dr,Canonsburg,PA,Land,0.24,10454,,"$514,342 ",2/1/2021,Sold,,"2,143,173.67",49.2,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15317-1531,,,2/4/2021,2/24/2021,,,Public Record,-80.19108,40.2953
118 Greystone Dr,Canonsburg,PA,Land,0.24,10641,,"$447,305 ",2/1/2021,Sold,,"1,831,087.85",42.04,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15317-1531,,,2/8/2021,3/1/2021,,,Public Record,-80.12456,40.25186
Shippen Rd,Shippenville,PA,Land,87,3789720,,"$130,500 ",2/1/2021,Sold,,"1,500.00",0.03,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/18/2021,3/10/2021,,,Public Record,-79.50952,41.32073
33075 Shermansville Rd,Conneautville,PA,Land,14.29,622472,,"$32,000 ",2/1/2021,Sold,,"2,239.33",0.05,,,,,,,,Agricultural,,,Suburban,Crawford,,,,2/1/2021,3/2/2021,,,Public Record,-80.3697,41.72563
14897 S Quaker Rd,Gowanda,NY,Land,9.3,405108,,"$158,000 ",1/29/2021,Sold,,"16,989.25",0.39,,,,,,,,Agricultural,,Outlying Erie County,Suburban,Erie,14070-1407,,,2/8/2021,3/12/2021,,,Public Record,-78.91384,42.47218
3400 E Beecher Hill Rd,Owego,NY,Land,24.39,1062428,,"$150,000 ",1/29/2021,Sold,,"6,150.06",0.14,,,,,,,,Agricultural,,,Suburban,Tioga,13827-1382,,,2/18/2021,3/11/2021,,,Public Record,-76.21733,42.15386
274 Sienna Trail,Venetia,PA,Land,0.76,33210,,"$125,000 ",1/29/2021,Sold,,"163,956.64",3.76,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/2/2021,2/22/2021,,,Public Record,-80.07578,40.25391
46 Shannon Ave,Washington,PA,Land,0.13,5601,,"$85,000 ",1/29/2021,Sold,,"661,060.53",15.18,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/4/2021,2/23/2021,,,Public Record,-80.24008,40.17704
106 Johnston St,McDonald,PA,Land,0.11,4800,,"$9,000 ",1/29/2021,Sold,,"81,675.00",1.88,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/9/2021,2/26/2021,,,Public Record,-80.23197,40.36679
460 Vogliano St,Washington,PA,Land,0.24,10323,,"$416,240 ",1/28/2021,Sold,,"1,756,409.42",40.32,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15301-1530,,,2/1/2021,2/17/2021,,,Public Record,-80.23494,40.21658
2987 Valley View Dr,Bath,PA,Land,7.62,331927,,"$137,600 ",1/28/2021,Sold,,"18,057.75",0.42,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18014-1801,,,2/19/2021,3/3/2021,,,Public Record,-75.4405,40.76337
1 Hill Ave,McDonald,PA,Land,0.28,12000,,"$57,500 ",1/28/2021,Sold,,"208,725.00",4.79,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15057,,,1/29/2021,2/16/2021,,,Public Record,-80.195036,40.324535
29 Marion Ln,Otego,NY,Land,4.16,181209,,"$34,000 ",1/28/2021,Sold,,"8,173.10",0.19,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13825-1382,,,2/16/2021,3/10/2021,,,Public Record,-75.19302,42.38308
300 Conley Rd,Lewisberry,PA,Land,8.8,383118,,,1/28/2021,Sold,,,,,,,,,,,Agricultural,,York County,Suburban,York,17339-1733,,,2/4/2021,2/23/2021,,,Public Record,-76.86219,40.09089
1451 Ayers Rd,Homer,NY,Land,93.8,4085928,,"$220,000 ",1/27/2021,Sold,,"2,345.42",0.05,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13077-1307,,,2/2/2021,2/12/2021,,,Public Record,-76.17908,42.69303
8 Jefferson Ave,Charleroi,PA,Land,0.1,4199,,"$185,000 ",1/27/2021,Sold,,"1,919,171.23",44.06,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15022-1502,,,1/28/2021,2/17/2021,,,Public Record,-79.92918,40.14796
2072 Lake Minsi Dr,Bangor,PA,Land,3.68,160300,,"$62,000 ",1/27/2021,Sold,,"16,847.91",0.39,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18013-1801,,,2/22/2021,3/11/2021,,,Public Record,-75.16564,40.90606
914 Thomas Eighty Four Rd,Eighty Four,PA,Land,0.67,28993,,,1/27/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/9/2021,2/26/2021,,,Public Record,-80.11684,40.21215
Michters Rd,Newmanstown,PA,Land,12.15,529254,,,1/27/2021,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17073-1707,,,2/10/2021,2/23/2021,,,Public Record,-76.32503,40.26356
6720 Stone Dr,Germansville,PA,Land,3,130680,,,1/27/2021,Sold,,,,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,18053-1805,,,2/3/2021,2/16/2021,,,Public Record,-75.71178,40.69052
16821 Scenic Dr,Meadville,PA,Land,11.2,487871,,"$327,500 ",1/26/2021,Sold,,"29,241.07",0.67,,,,,,,,Agricultural,,,Suburban,Crawford,,,,2/1/2021,3/8/2021,,,Public Record,-80.19995,41.64339
Unnamed Road,Saranac,NY,Land,90.5,3942180,,,1/26/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Clinton,12981-1298,,,1/27/2021,2/18/2021,,,Public Record,-73.78026,44.62851
85 Orchard Terrace,Washington,PA,Land,0.14,5998,,"$205,000 ",1/25/2021,Sold,,"1,488,796.27",34.18,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/29/2021,2/16/2021,,,Public Record,-80.2406,40.18317
1527 Kbs Rd,Spring Grove,PA,Land,15.61,679993,,"$169,900 ",1/25/2021,Sold,,"10,883.71",0.25,,,,,,,,Agricultural,,York County,Suburban,York,17362-1736,,,1/28/2021,2/9/2021,,,Public Record,-76.86838,39.90077
608 Birdsey Rd,Waterloo,NY,Land,27.1,1180476,,"$65,000 ",1/25/2021,Sold,,"2,398.52",0.06,,,,,,,,Agricultural,,,Suburban,Seneca,13165-1316,,,2/12/2021,3/2/2021,,,Public Record,-76.87349,42.99621
1127 County Rd 34,Norwich,NY,Land,1,43560,,"$9,000 ",1/25/2021,Sold,,"9,000.00",0.21,,,,,,,,Agricultural,,,Suburban,Chenango,13815-1381,,,2/10/2021,3/10/2021,,,Public Record,-75.42214,42.49643
702 T617,Lucinda,PA,Land,144,6272640,,"$2,000 ",1/25/2021,Sold,,13.89,,,,,,,,,Agricultural,,,Suburban,Clarion,,,,1/26/2021,2/12/2021,,,Public Record,-79.29636,41.31326
94 Mingo Cir Dr,Finleyville,PA,Land,0.62,26898,,,1/25/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15332-1533,,,1/29/2021,2/16/2021,,,Public Record,-80.01434,40.23265
255 Bower Hill Rd,Venetia,PA,Land,0.63,27225,,"$1,596,180 ",1/22/2021,Sold,,"2,553,888.00",58.63,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15367-1536,,,1/22/2021,2/8/2021,,,Public Record,-80.06951,40.25202
6890 Detters Mill Rd,Dover,PA,Land,14.87,647828,,"$595,000 ",1/22/2021,Sold,,"40,007.84",0.92,,,,,,,,Agricultural,,York County,Suburban,York,17315-1731,,,1/29/2021,2/10/2021,,,Public Record,-76.9235,40.01296
28 Carl Ave,Eighty Four,PA,Land,0.34,15002,,"$180,000 ",1/22/2021,Sold,,"522,650.31",12,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/28/2021,2/16/2021,,,Public Record,-80.12888,40.21042
4566 E Hillside Rd,Bliss,NY,Land,46.9,2042964,,"$120,000 ",1/22/2021,Sold,,"2,558.64",0.06,,,,,,,,Agricultural,,,Suburban,Wyoming,14024-1402,,,2/2/2021,3/8/2021,,,Public Record,-78.1794,42.59754
107 S Rd,Norwich,NY,Land,1.95,84942,,"$69,000 ",1/22/2021,Sold,,"35,384.62",0.81,,,,,,,,Agricultural,,,Suburban,Chenango,13832-1381,,,2/5/2021,3/3/2021,,,Public Record,-75.62006,42.55931
11 Ranch Rd,Eighty Four,PA,Land,0.33,14549,,"$23,985 ",1/22/2021,Sold,,"71,811.58",1.65,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15057-1533,,,2/8/2021,2/24/2021,,,Public Record,-80.15496,40.20325
1 Wheeling Pitt Dr,Allenport,PA,Land,0.3,13068,,"$2,200 ",1/22/2021,Sold,,"7,333.33",0.17,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/3/2021,2/23/2021,,,Public Record,-79.84648,40.08601
36376 Riceville Rd,Centerville,PA,Land,6.78,295336,,,1/22/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,16404-1640,,,2/10/2021,3/8/2021,,,Public Record,-79.82733,41.79077
1127 Lone Walnut Club Rd,Jersey Shore,PA,Land,67.05,2920698,,,1/22/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Lycoming,17740-1774,,,1/28/2021,2/26/2021,,,Public Record,-77.28999,41.28259
1183 Outlet-Loyalville Rd,Harveys Lake,PA,Land,10,435600,,"$1,175,000 ",1/21/2021,Sold,,"117,500.00",2.7,,,,,,,,Agricultural,,I-81 Corridor,Suburban,Luzerne,18612-1861,,,1/21/2021,2/15/2021,,,Public Record,-76.08283,41.33869
857 Old Ridge Rd,Hanover,PA,Land,98.22,4278554,,"$306,370 ",1/21/2021,Sold,,"3,119.16",0.07,,,,,,,,Agricultural,,York County,Suburban,York,17331-1733,,,2/10/2021,2/23/2021,,,Public Record,-76.95663,39.8099
495 T338,Avella,PA,Land,0.36,15463,,"$2,500 ",1/21/2021,Sold,,"7,042.62",0.16,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/28/2021,2/12/2021,,,Public Record,-80.48998,40.31045
82 Plum Run Rd,Canonsburg,PA,Land,1.9,82764,,,1/21/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/22/2021,2/9/2021,,,Public Record,-80.25097,40.29612
8 7th St,Marianna,PA,Land,0.17,7348,,,1/21/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/25/2021,2/9/2021,,,Public Record,-80.09,40.01839
2600 Park Rd,Glen Rock,PA,Land,13.76,599263,,"$885,000 ",1/20/2021,Sold,,"64,330.02",1.48,,,,,,,,Agricultural,,York County,Suburban,York,17327-1732,,,1/22/2021,2/2/2021,,,Public Record,-76.65598,39.83338
1111 8th St,Berwick,PA,Land,11,479160,,"$225,000 ",1/20/2021,Sold,,"20,454.55",0.47,,,,,,,,Agricultural,,I-81 Corridor,Suburban,Luzerne,18603-1860,,,1/22/2021,2/8/2021,,,Public Record,-76.21801,41.0675
920 County Hwy 20,Edmeston,NY,Land,20.3,884268,,"$27,000 ",1/20/2021,Sold,,"1,330.05",0.03,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13335-1333,,,2/1/2021,2/18/2021,,,Public Record,-75.25919,42.69729
583-159 Taylor Hill Rd,Edmeston,NY,Land,54.6,2378376,,,1/20/2021,Sold,,,,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13315-1333,,,2/16/2021,3/3/2021,,,Public Record,-75.21208,42.75118
7769 NY-7,Maryland,NY,Land,25.59,1114700,,"$165,000 ",1/19/2021,Sold,,"6,447.83",0.15,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,12116-1211,,,1/25/2021,2/16/2021,,,Public Record,-74.86611,42.5412
91 Maple Ave,Washington,PA,Land,0.06,2770,,"$120,000 ",1/19/2021,Sold,,"1,887,075.81",43.32,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/20/2021,2/4/2021,,,Public Record,-80.26549,40.18505
1889 Captain Moore Rd,Rome,PA,Land,46.47,2024233,,"$1,676 ",1/19/2021,Sold,,36.07,0,,,,,,,,Agricultural,,,Suburban,Bradford,18837-1883,,,1/26/2021,2/17/2021,,,Public Record,-76.27611,41.92198
11657 Sanderson Rd,Medina,NY,Land,67.2,2927232,,,1/19/2021,Sold,,,,,,,,,,,Agricultural,,Orleans County,Suburban,Orleans,14103-1410,,,1/19/2021,3/11/2021,,,Public Record,-78.37009,43.20228
304 Stoddard Hollow Rd,Delancey,NY,Land,77.36,3369801,,"$415,000 ",1/18/2021,Sold,,"5,364.53",0.12,"304 Stoddard Hollow Rd, Delancey, NY 13752",,,,,,,Agricultural,,New York Southeast Area,Suburban,Delaware,13752-3165,,,2/11/2021,3/9/2021,,,Public Record,-74.92588,42.21621
5298 Twin Pond Dr,Springville,NY,Land,147.19,6411596,,"$50,000 ",1/18/2021,Sold,,339.7,0.01,,,,,,,,Agricultural,,Outlying Erie County,Suburban,Erie,14034-1414,,,1/19/2021,2/24/2021,,,Public Record,-78.78651,42.48855
I-88,Oneonta,NY,Land,42.82,1865239,,"$27,500 ",1/18/2021,Sold,,642.22,0.02,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13820-1382,,,1/19/2021,2/4/2021,,,Public Record,-75.12528,42.42816
165 T341,Parker,PA,Land,12,522720,,,1/18/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Clarion,,,,1/27/2021,2/17/2021,,,Public Record,-79.59606,41.10794
Baxter Mountain Rd,Downsville,NY,Land,15,653400,,"$23,000 ",1/16/2021,Sold,,"1,533.33",0.04,,,,,,,,Agricultural,,,Suburban,Delaware,12776-1375,,,2/19/2021,3/11/2021,,,Public Record,-75.01348,42.00768
7863 Sassafras Rd,New Tripoli,PA,Land,72.19,3144396,,"$630,000 ",1/15/2021,Sold,,"8,727.53",0.2,,Jaindl Farms,Local,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,18066-1806,,,1/25/2021,2/4/2021,,,Public Record,-75.7735028,40.7012129
3955 4 Rod Rd,East Aurora,NY,Land,0.25,10890,,"$350,000 ",1/15/2021,Sold,,"1,400,000.00",32.14,,,,,,,,Agricultural,,Outlying Erie County,Suburban,Erie,14052-1405,,,1/29/2021,3/4/2021,,,Public Record,-78.53532,42.78216
156 Ontario Rd,Eighty Four,PA,Land,0.48,20799,,"$184,600 ",1/15/2021,Sold,,"386,613.59",8.88,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/20/2021,2/8/2021,,,Public Record,-80.06949,40.10523
2081 N Rd,Bloomville,NY,Land,101.6,4425696,,"$150,000 ",1/15/2021,Sold,,"1,476.38",0.03,,,,,,,,Agricultural,,,Suburban,Delaware,13739-1373,,,2/8/2021,2/25/2021,,,Public Record,-74.76375,42.43652
1321 Lester Rd,Conneautville,PA,Land,52.51,2287335,,"$109,000 ",1/15/2021,Sold,,"2,075.80",0.05,,,,,,,,Agricultural,,,Suburban,Crawford,,,,1/15/2021,2/9/2021,,,Public Record,-80.50499,41.73828
312 Whitmarsh Hollow Rd,Candor,NY,Land,20.14,877298,,"$59,900 ",1/15/2021,Sold,,"2,974.18",0.07,,,,,,,,Agricultural,,,Suburban,Tioga,13743-1374,,,1/27/2021,2/23/2021,,,Public Record,-76.34722,42.17506
1938 Mott Town Rd,Gillett,PA,Land,17.6,766656,,"$35,000 ",1/15/2021,Sold,,"1,988.64",0.05,,,,,,,,Agricultural,,,Suburban,Bradford,16925-1692,,,1/26/2021,2/16/2021,,,Public Record,-76.83486,41.92665
21 Hill Ave,Mc Donald,PA,Land,0.21,9199,,$400 ,1/15/2021,Sold,,"1,894.12",0.04,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/20/2021,2/5/2021,,,Public Record,-80.06878,40.10508
1747 S Colebrook Rd,Lancaster,PA,Land,24.01,1045875,,,1/15/2021,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17601-1760,,,1/15/2021,2/3/2021,,,Public Record,-76.37848,40.09575
260 Volanski Rd,Benton,PA,Land,19.72,859003,,"$1,025,000 ",1/14/2021,Sold,,"51,977.70",1.19,,,,,,,,Agricultural,,I-81 Corridor,Suburban,Luzerne,84102-1781,,,1/25/2021,2/8/2021,,,Public Record,-76.28315,41.21981
125 Summer Ln,McDonald,PA,Land,0.24,10454,,"$424,900 ",1/14/2021,Sold,,"1,770,484.41",40.65,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/27/2021,2/12/2021,,,Public Record,-80.33734,40.33275
60913 Erie St,Saegertown,PA,Land,54.33,2366614,,"$70,000 ",1/14/2021,Sold,,"1,288.42",0.03,,,,,,,,Agricultural,,,Suburban,Crawford,16433-1643,,,1/20/2021,2/11/2021,,,Public Record,-80.12859,41.72234
